Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
121570.5931762,0.0,0.3,0.14,0.0
121570.6574075,0.0,0.29,0.14,0.0
121570.7197854,0.0,0.27,0.12,0.0
121570.7830652,0.0,0.27,0.13,0.0
121570.8466073,0.0,0.26,0.12,0.0
121570.9102907,0.0,0.24,0.1,0.0
121570.9743197,0.0,0.23,0.09,0.0
121571.0376148,0.0,0.22,0.1,0.0
121571.1017344,0.0,0.22,0.11,0.0
121571.1655689,0.0,0.21,0.09,0.0
121571.2216378,0.0,0.2,0.09,0.0
121571.2826226,0.0,0.19,0.08,0.0
121571.3456602,0.0,0.19,0.08,0.0
121571.40978,0.0,0.17,0.07,0.0
121571.4729218,0.0,0.17,0.07,0.0
121571.5367535,0.0,0.17,0.08,0.0
121571.6001814,0.0,0.15,0.06,0.0
121571.6633442,0.0,0.15,0.08,0.0
121571.7170584,0.0,0.15,0.08,0.0
121571.7738845,0.0,0.14,0.06,0.0
121571.8239927,0.0,0.13,0.05,0.0
121571.8740765,0.0,0.14,0.08,0.0
121571.92441,0.0,0.12,0.05,0.0
121571.974634,0.0,0.12,0.05,0.0
121572.0282528,0.0,0.12,0.07,0.0
121572.0791204,0.0,0.12,0.06,0.0
121572.1293323,0.0,0.11,0.05,0.0
121572.1796778,0.0,0.11,0.06,0.0
121572.2299914,0.0,0.11,0.05,0.0
121572.2815533,0.0,0.11,0.06,0.0
121572.3324302,0.0,0.1,0.05,0.0
121572.3849553,0.0,0.1,0.06,0.0
121572.4355719,0.0,0.1,0.07,0.0
121572.4859709,0.0,0.09,0.04,0.0
121572.5367059,0.0,0.09,0.03,0.0
121572.6421734,0.0,0.09,0.05,0.0
121572.7076361,0.0,0.08,0.05,0.0
121572.7586978,0.0,0.08,0.03,0.0
121572.809007,0.0,0.08,0.04,0.0
121572.8591595,0.0,0.08,0.05,0.0
121572.9095763,0.0,0.08,0.05,0.0
121572.9736899,0.0,0.07,0.04,0.0
121573.0238032,0.0,0.07,0.04,0.0
121573.0843641,0.0,0.07,0.05,0.0
121573.1346118,0.0,0.07,0.04,0.0
121573.1941087,0.0,0.07,0.04,0.0
121573.2449732,0.0,0.07,0.04,0.0
121573.3057424,0.0,0.06,0.03,0.0
121573.3689795,0.0,0.06,0.04,0.0
121573.4197846,0.0,0.06,0.03,0.0
121573.479522,0.0,0.06,0.03,0.0
121573.5427016,0.0,0.06,0.04,0.0
121573.5957457,0.0,0.06,0.04,0.0
121573.6539823,0.0,0.05,0.03,0.0
121573.7064374,0.0,0.06,0.04,0.0
121573.7565466,0.0,0.05,0.03,0.0
121573.8089226,0.0,0.05,0.03,0.0
121573.8595142,0.0,0.05,0.04,0.0
121573.9231082,0.0,0.05,0.02,0.0
121573.9870799,0.0,0.05,0.03,0.0
121574.050939,0.0,0.04,0.02,0.0
121574.1039639,0.0,0.05,0.03,0.0
121574.1624774,0.0,0.04,0.02,0.0
121574.2142811,0.0,0.05,0.04,0.0
121574.266277,0.0,0.04,0.03,0.0
121574.3297939,0.0,0.04,0.03,0.0
121574.393061,0.0,0.04,0.03,0.0
121574.4485796,0.0,0.04,0.03,0.0
121574.50064,0.0,0.04,0.03,0.0
121574.5509658,0.0,0.04,0.03,0.0
121574.6148853,0.0,0.04,0.03,0.0
121574.6658262,0.0,0.04,0.02,0.0
121574.7165034,0.0,0.04,0.04,0.0
121574.7738164,0.0,0.04,0.03,0.0
121574.8250814,0.0,0.04,0.02,0.0
121574.8852714,0.0,0.04,0.03,0.0
121574.935867,0.0,0.04,0.03,0.0
121574.997277,0.59,0.04,0.03,0.0
121575.0612878,0.59,0.04,0.03,0.04
121575.1249505,0.6,0.03,0.03,0.32
121575.1753314,0.59,0.03,0.04,0.44
121575.2350486,0.59,0.03,0.06,0.56
121575.298799,0.59,0.04,0.1,0.64
121575.3499821,0.59,0.04,0.12,0.74
121575.4008124,0.59,0.04,0.15,0.82
121575.4535385,0.59,0.04,0.17,0.92
121575.5056697,0.59,0.05,0.2,1.01
121575.5696884,0.59,0.05,0.23,1.08
121575.6335852,0.59,0.06,0.28,1.24
121575.6845963,0.59,0.07,0.32,1.29
121575.7351522,0.59,0.08,0.33,1.36
121575.7911683,0.59,0.08,0.35,1.44
121575.8553704,0.59,0.1,0.4,1.46
121575.9062051,0.59,0.11,0.43,1.49
121575.9668277,0.59,0.11,0.42,1.59
121576.0179518,0.59,0.12,0.44,1.65
121576.0788486,0.59,0.14,0.49,1.72
121576.1303093,0.59,0.15,0.52,1.74
121576.1912511,0.59,0.16,0.52,1.8
121576.2542624,0.59,0.17,0.54,1.84
121576.3065726,0.59,0.18,0.56,1.88
121576.3659342,0.59,0.19,0.59,1.88
121576.4168516,0.59,0.2,0.61,1.9
121576.4783772,0.59,0.21,0.62,1.93
121576.5316507,0.59,0.23,0.65,1.95
121576.5885593,0.59,0.24,0.66,1.98
121576.6418889,0.59,0.25,0.67,2.0
121576.7006822,0.59,0.27,0.69,1.99
121576.7522404,0.59,0.27,0.69,2.03
121576.8114197,0.59,0.29,0.71,2.03
121576.8753121,0.59,0.3,0.72,2.03
121576.9390823,0.59,0.32,0.75,2.02
121577.0024907,0.59,0.33,0.74,2.05
121577.0528994,0.59,0.34,0.76,2.04
121577.1136964,0.59,0.35,0.75,2.06
121577.164696,0.59,0.36,0.76,2.07
121577.2211107,0.59,0.37,0.77,2.07
121577.2835051,0.59,0.38,0.78,2.06
121577.3473827,0.59,0.4,0.8,2.05
121577.4112011,0.59,0.4,0.79,2.07
121577.4718752,0.59,0.41,0.8,2.06
121577.5248985,0.59,0.43,0.82,2.02
121577.5864233,0.59,0.43,0.81,2.03
121577.6500707,0.59,0.44,0.8,2.06
121577.7131327,0.59,0.45,0.81,2.04
121577.767601,0.59,0.45,0.81,2.05
121577.8207634,0.59,0.46,0.82,2.02
121577.8730208,0.59,0.47,0.82,2.02
121577.934288,0.6,0.47,0.82,2.03
121577.9858884,0.59,0.48,0.82,2.03
121578.0458394,0.59,0.49,0.84,2.0
121578.0970871,0.59,0.49,0.82,2.02
121578.1482236,0.59,0.5,0.82,2.02
121578.2037677,0.59,0.51,0.84,1.99
121578.2674034,0.59,0.51,0.83,2.0
121578.3257405,0.59,0.51,0.83,2.0
121578.3773032,0.59,0.52,0.83,2.0
121578.4415992,0.59,0.52,0.84,1.98
121578.5050085,0.59,0.53,0.83,1.99
121578.5682166,0.59,0.53,0.83,1.98
121578.6245552,0.59,0.54,0.84,1.97
121578.6767535,0.59,0.54,0.85,1.95
121578.7289239,0.59,0.55,0.85,1.93
121578.7792316,0.59,0.55,0.84,1.94
121578.8303781,0.59,0.55,0.83,1.96
121578.8939368,0.59,0.55,0.83,1.95
121578.9445666,0.59,0.55,0.82,1.97
121579.0057009,0.59,0.56,0.83,1.96
121579.0568865,0.59,0.56,0.84,1.93
121579.1166913,0.6,0.57,0.85,1.91
121579.1769495,0.59,0.57,0.85,1.91
121579.2356626,0.59,0.57,0.83,1.92
121579.2882391,0.59,0.57,0.83,1.94
121579.3388056,0.59,0.57,0.84,1.92
121579.4019083,0.59,0.57,0.83,1.92
121579.4520896,0.59,0.57,0.82,1.93
121579.5116569,0.59,0.57,0.82,1.94
121579.5754188,0.59,0.58,0.84,1.92
121579.6287735,0.59,0.58,0.83,1.91
121579.686035,0.59,0.58,0.85,1.89
121579.7363293,0.59,0.58,0.83,1.92
121579.7874353,0.59,0.58,0.83,1.9
121579.8437168,0.59,0.58,0.83,1.9
121579.8989577,0.59,0.58,0.83,1.91
121579.9527788,0.59,0.59,0.84,1.88
121580.0174518,0.59,0.58,0.82,1.91
121580.0729437,0.59,0.58,0.82,1.92
