Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
118738.9796052,0.0,0.43,0.56,0.0
118739.0319229,0.0,0.42,0.54,0.0
118739.0948186,0.0,0.41,0.52,0.0
118739.1585614,0.0,0.38,0.47,0.0
118739.2101209,0.0,0.37,0.46,0.0
118739.2623486,0.0,0.35,0.44,0.0
118739.3264803,0.0,0.34,0.43,0.0
118739.3903475,0.0,0.33,0.42,0.0
118739.4407612,0.0,0.32,0.4,0.0
118739.5015184,0.0,0.3,0.37,0.0
118739.563092,0.0,0.29,0.36,0.0
118739.6260754,0.0,0.28,0.35,0.0
118739.687168,0.0,0.28,0.34,0.0
118739.7513657,0.0,0.26,0.33,0.0
118739.8153958,0.0,0.24,0.31,0.0
118739.8790426,0.0,0.24,0.3,0.0
118739.9421401,0.0,0.23,0.29,0.0
118740.0052534,0.0,0.22,0.28,0.0
118740.0696241,0.0,0.21,0.27,0.0
118740.1336254,0.0,0.21,0.26,0.0
118740.1970728,0.0,0.2,0.25,0.0
118740.2607431,0.0,0.19,0.24,0.0
118740.3233759,0.0,0.18,0.24,0.0
118740.3860711,0.0,0.18,0.23,0.0
118740.4504641,0.0,0.17,0.22,0.0
118740.5139499,0.5,0.16,0.22,3.6
118740.5780399,0.53,0.16,0.38,3.49
118740.6424786,0.53,0.17,0.5,3.21
118740.6932634,0.69,0.18,0.57,4.46
118740.7461652,0.77,0.19,0.64,4.97
118740.8106513,0.66,0.22,0.88,3.42
118740.8738238,0.69,0.24,0.96,3.49
118740.9285766,0.66,0.26,1.04,3.04
118740.9853138,1.04,0.29,1.04,5.0
118741.0360796,1.08,0.32,1.16,5.0
118741.0963857,1.02,0.34,1.26,5.0
118741.1477617,0.94,0.37,1.36,4.57
118741.2115429,0.9,0.42,1.42,4.1
118741.2757027,0.79,0.44,1.37,3.18
118741.3298874,0.65,0.46,1.38,2.02
118741.3871053,0.67,0.49,1.41,2.09
118741.4376749,0.23,0.5,1.44,0.0
118741.4987142,0.25,0.52,1.34,0.0
118741.5623318,0.15,0.53,1.26,0.0
118741.6136834,0.01,0.53,1.18,0.0
118741.6734579,0.0,0.54,1.05,0.0
118741.7240442,0.01,0.53,0.99,0.0
118741.7876598,0.0,0.53,0.93,0.0
118741.8511096,0.0,0.52,0.88,0.0
118741.9143125,0.0,0.51,0.84,0.0
118741.9777701,0.02,0.49,0.75,0.0
118742.0421215,0.0,0.48,0.72,0.0
118742.1056971,0.04,0.47,0.69,0.0
118742.1690475,0.01,0.44,0.63,0.0
118742.2238387,0.07,0.43,0.6,0.0
118742.277774,0.16,0.42,0.57,0.0
118742.3414173,0.22,0.41,0.54,0.27
118742.4052963,0.34,0.4,0.57,1.19
118742.4557895,0.04,0.39,0.71,0.0
118742.5192585,0.07,0.39,0.67,0.0
118742.5694228,0.11,0.38,0.64,0.0
118742.6232934,0.47,0.37,0.59,2.33
118742.6869193,0.5,0.37,0.73,2.24
118742.751032,0.79,0.37,0.84,4.46
118742.81521,0.85,0.37,0.89,4.87
118742.8793317,1.09,0.39,1.13,5.0
118742.9427576,1.02,0.41,1.24,5.0
118743.0060075,1.1,0.43,1.35,5.0
118743.0680793,1.08,0.45,1.45,5.0
118743.1319449,1.13,0.51,1.62,5.0
118743.1957899,0.99,0.54,1.7,4.05
118743.2461637,0.96,0.56,1.63,3.94
118743.3073297,0.94,0.58,1.55,3.93
118743.3703598,0.81,0.6,1.47,2.96
118743.4334931,0.66,0.62,1.51,1.6
118743.4973582,0.26,0.63,1.47,0.0
118743.5622579,0.27,0.63,1.38,0.0
118743.6131424,0.5,0.64,1.3,0.67
118743.6739718,0.15,0.64,1.32,0.0
118743.7458471,0.09,0.63,1.17,0.0
118743.81079,0.04,0.63,1.11,0.0
118743.8747513,0.02,0.62,1.05,0.0
118743.9378635,0.34,0.6,0.94,0.13
118744.0014076,0.03,0.58,0.92,0.0
118744.0540105,0.06,0.57,0.87,0.0
118744.1127799,0.0,0.56,0.84,0.0
118744.1760057,0.08,0.54,0.79,0.0
118744.2392392,0.07,0.52,0.72,0.0
118744.3025086,0.01,0.5,0.68,0.0
118744.3658539,0.01,0.48,0.65,0.0
118744.4287618,0.0,0.47,0.63,0.0
118744.4932337,0.0,0.44,0.58,0.0
118744.5558,0.09,0.43,0.55,0.0
118744.6059773,0.05,0.42,0.53,0.0
118744.6672853,0.37,0.4,0.51,1.56
118744.7310537,0.47,0.39,0.53,2.44
118744.7946773,0.5,0.38,0.65,2.41
118744.8576703,0.51,0.38,0.79,2.18
118744.9216175,0.53,0.38,0.88,2.13
118744.986035,0.89,0.39,0.96,5.0
118745.0499367,0.97,0.42,1.21,5.0
118745.1136125,1.08,0.44,1.32,5.0
118745.1782111,1.12,0.45,1.41,5.0
118745.2312574,1.09,0.47,1.51,5.0
118745.2932662,1.09,0.53,1.68,5.0
118745.3573248,1.13,0.56,1.75,5.0
118745.4221709,1.0,0.59,1.82,3.86
118745.4861559,0.97,0.61,1.71,3.79
118745.5378767,1.02,0.63,1.6,4.42
118745.598121,0.63,0.66,1.6,1.05
118745.6615665,0.62,0.67,1.67,0.81
118745.7140325,0.55,0.68,1.68,0.19
118745.7735226,0.53,0.7,1.61,0.21
118745.8376217,0.48,0.7,1.54,0.0
118745.9017761,0.43,0.7,1.36,0.0
118745.9652256,0.37,0.7,1.29,0.0
118746.0218463,0.29,0.69,1.22,0.0
118746.0852942,0.16,0.67,1.15,0.0
118746.1496231,0.08,0.66,1.04,0.0
118746.2164758,0.42,0.65,0.99,0.69
118746.2671214,0.37,0.63,1.04,0.17
118746.3277839,0.26,0.62,1.01,0.0
118746.3914764,0.2,0.61,0.96,0.0
118746.4548516,0.04,0.58,0.87,0.0
118746.518976,0.1,0.57,0.83,0.0
118746.582878,0.17,0.55,0.79,0.0
118746.6459137,0.0,0.53,0.75,0.0
118746.6966696,0.02,0.52,0.71,0.0
