Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
120332.8198342,0.0,0.29,0.38,0.0
120332.8709628,0.0,0.29,0.37,0.0
120332.9252701,0.0,0.28,0.36,0.0
120332.9796609,0.0,0.26,0.34,0.0
120333.0438177,0.0,0.26,0.33,0.0
120333.1095257,0.0,0.24,0.31,0.0
120333.1707894,0.0,0.23,0.29,0.0
120333.2259233,0.0,0.22,0.29,0.0
120333.2880242,0.0,0.22,0.28,0.0
120333.3505028,0.0,0.2,0.26,0.0
120333.4132487,0.0,0.19,0.25,0.0
120333.4762848,0.0,0.19,0.24,0.0
120333.5382375,0.0,0.19,0.23,0.0
120333.6098959,0.0,0.17,0.23,0.0
120333.6694077,0.0,0.16,0.22,0.0
120333.7324103,0.0,0.15,0.21,0.0
120333.7944648,0.0,0.16,0.21,0.0
120333.8547803,0.0,0.14,0.2,0.0
120333.9170337,0.0,0.15,0.19,0.0
120333.9797509,0.0,0.14,0.19,0.0
120334.0364688,0.0,0.14,0.18,0.0
120334.0973407,0.0,0.13,0.18,0.0
120334.1597192,0.0,0.13,0.17,0.0
120334.2103821,0.0,0.12,0.17,0.0
120334.2717203,0.0,0.13,0.16,0.0
120334.3334716,0.0,0.12,0.16,0.0
120334.3962161,0.0,0.13,0.16,0.0
120334.4567932,0.0,0.12,0.15,0.0
120334.5187829,0.0,0.11,0.14,0.0
120334.5753379,0.0,0.12,0.15,0.0
120334.637921,0.0,0.11,0.14,0.0
120334.698481,0.0,0.11,0.14,0.0
120334.7610395,0.0,0.11,0.13,0.0
120334.8227209,0.0,0.1,0.13,0.0
120334.884484,0.0,0.1,0.13,0.0
120334.9391323,0.0,0.11,0.13,0.0
120334.9972927,0.0,0.11,0.12,0.0
120335.0491483,0.0,0.1,0.12,0.0
120335.1108529,0.0,0.1,0.12,0.0
120335.1733238,0.0,0.08,0.11,0.0
120335.2360451,0.0,0.09,0.11,0.0
120335.2975306,0.0,0.08,0.11,0.0
120335.3522717,0.0,0.08,0.1,0.0
120335.4137108,0.0,0.07,0.1,0.0
120335.4760551,0.0,0.07,0.1,0.0
120335.5388717,0.0,0.06,0.1,0.0
120335.6019218,0.0,0.07,0.1,0.0
120335.6646501,0.0,0.06,0.1,0.0
120335.7223873,0.0,0.06,0.1,0.0
120335.7846244,0.0,0.06,0.1,0.0
120335.8351974,0.0,0.05,0.09,0.0
120335.8934896,0.0,0.04,0.09,0.0
120335.9517835,0.0,0.04,0.1,0.0
120336.0113222,0.0,0.05,0.09,0.0
120336.0799759,0.0,0.04,0.09,0.0
120336.1304877,0.0,0.04,0.09,0.0
120336.1934006,0.0,0.04,0.09,0.0
120336.2552633,0.0,0.04,0.09,0.0
120336.3167712,0.0,0.04,0.08,0.0
120336.3731664,0.0,0.05,0.08,0.0
120336.4358651,0.0,0.04,0.08,0.0
120336.4976985,0.0,0.04,0.08,0.0
120336.5612303,0.0,0.04,0.08,0.0
120336.6227555,0.0,0.06,0.08,0.0
120336.6809659,0.0,0.05,0.08,0.0
120336.7451711,0.0,0.05,0.08,0.0
120336.806486,0.0,0.05,0.08,0.0
120336.8638748,0.59,0.06,0.08,2.43
120336.9267085,0.59,0.1,0.25,2.37
120336.9837976,0.59,0.11,0.31,2.33
120337.046042,0.59,0.13,0.37,2.3
120337.1088375,0.59,0.15,0.43,2.25
120337.1735076,0.59,0.2,0.52,2.21
120337.2350054,0.59,0.21,0.56,2.19
120337.2975521,0.59,0.24,0.59,2.14
120337.3628006,0.59,0.24,0.63,2.15
120337.4252505,0.59,0.3,0.68,2.08
120337.487679,0.59,0.3,0.71,2.09
120337.5490667,0.59,0.32,0.73,2.08
120337.6096734,0.59,0.34,0.75,2.03
120337.6721475,0.59,0.37,0.79,2.01
120337.7352779,0.59,0.38,0.81,2.02
120337.7971185,0.59,0.41,0.83,2.0
120337.8588758,0.59,0.41,0.84,1.97
120337.9218744,0.6,0.42,0.86,2.0
120337.9841138,0.59,0.45,0.89,1.95
120338.0371333,0.59,0.46,0.89,1.95
120338.097519,0.59,0.46,0.91,1.92
120338.1586717,0.59,0.48,0.92,1.93
120338.2112215,0.59,0.49,0.93,1.92
120338.273878,0.59,0.52,0.95,1.9
120338.3377636,0.59,0.52,0.96,1.87
120338.3999732,0.59,0.53,0.96,1.87
120338.461817,0.59,0.54,0.97,1.86
120338.5243629,0.59,0.55,0.99,1.85
